id,venue,name,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17,問18,問19,問20,問21,問22,問23,問24,問25,問26,問27,問28,問29,問30,問31-1,問31-2,問32-1,問32-2,問33,問34,問35,問36,問37,問38-1,問38-2,問38-3,問38-4,問44,問45,問46,問47,問48,問49,
00001,ＳＢ,山田　菜月,C,B,D,B,C,C,C,B,C,A,C,A,B,C,B,A,A,B,D,A,C,C,C,B,B,D,C,B,C,A,440000,440000,220000,220000,287167,1337202,12374413,480000,380000,1380000,4829240,120000,19960,148800,72000,不足額,47456,超過額,91219,1123-SBアットワーク株式会社-0001.pdf
00002,ＳＢ,金子　透悟,C,B,D,B,A,C,C,B,A,C,C,A,A,C,B,A,D,B,D,C,B,D,B,B,B,D,A,A,C,B,440000,440000,240000,240000,292109,1324237,8814275,480000,380000,1510000,3377600,82370,19960,50000,55200,超過額,32771,超過額,4398,1123-SBアットワーク株式会社-0002.pdf
00003,ＳＢ,橋田　望,C,D,D,B,C,C,C,D,B,D,C,A,B,C,B,A,A,D,D,A,B,B,C,B,B,D,D,B,C,B,410000,410000,220000,220000,300236,1326943,11154188,480000,380000,1380000,3422400,120000,20460,148800,72000,不足額,40756,超過額,62899,1123-SBアットワーク株式会社-0003.pdf
00004,ＳＢ,中塚　琴美,C,B,D,B,C,C,C,D,C,A,C,A,B,C,B,A,A,B,D,A,D,B,C,B,B,D,C,B,C,B,410000,410000,220000,220000,300133,1337202,12389518,480000,380000,1280000,3422400,120000,19960,148800,72000,不足額,47456,超過額,91219,1123-SBアットワーク株式会社-0004.pdf
00005,ＳＢ,岩崎　祐大,C,B,D,B,C,C,C,D,C,A,C,A,B,C,B,A,A,B,D,A,C,B,C,B,B,D,B,B,C,B,440000,440000,220000,220000,249719,1337202,12374035,480000,380000,900000,3422400,120000,19960,148800,72000,,,,,1123-SBアットワーク株式会社-0005.pdf
00006,ＳＢ,藤原　喬,C,B,D,B,C,C,C,D,C,A,C,A,B,C,B,A,A,B,D,A,D,B,C,A,B,D,C,B,C,B,410000,410000,220000,220000,287115,1337202,12389518,480000,380000,1380000,3422400,120000,19960,148800,72000,不足額,47456,超過額,91219,1123-SBアットワーク株式会社-0006.pdf
00007,ＳＢ,矢部　明日香,C,B,D,B,C,C,C,D,C,A,C,A,B,C,B,A,C,B,D,A,C,B,C,B,B,D,C,B,C,A,410000,410000,220000,220000,298068,1337202,12389518,480000,380000,1280000,3422400,120000,19960,148800,72000,不足額,62656,超過額,91219,1123-SBアットワーク株式会社-0007.pdf
00008,ＳＢ,千葉　あさ希,C,B,D,B,C,C,C,B,A,D,C,A,B,C,B,A,A,B,D,A,B,B,C,B,B,D,C,B,C,A,440000,440000,680000,650000,287115,1316173,12389593,480000,380000,1130000,3019200,174000,25960,148800,72000,不足額,212856,,,1123-SBアットワーク株式会社-0008.pdf
00009,ＳＢ,永田　彩乃,C,B,A,B,B,B,C,D,C,A,C,A,B,C,B,A,A,B,D,A,C,B,C,A,B,D,C,B,C,B,410000,410000,220000,220000,287090,1337202,12389518,480000,380000,1380000,3422400,120000,19960,148800,72000,不足額,47456,超過額,91219,1123-SBアットワーク株式会社-0009.pdf
00010,ＳＢ,濱中　麻衣,C,B,D,B,C,C,C,A,C,A,C,A,B,C,B,A,C,B,D,A,C,C,C,B,B,D,C,B,C,B,410000,410000,220000,220000,287167,1337202,12389518,480000,380000,1280000,3422400,120000,19960,148800,72000,不足額,47456,超過額,91219,1123-SBアットワーク株式会社-0010.pdf
